age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
35-39,Male,India,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,10-20 years
25-29,Male,United States of America,Doctoral,Student,,,,advance,1-2 years
30-34,Female,Ukraine,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),$0-999,advance,3-5 years
25-29,Female,Pakistan,Masters,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,1-2 years
30-34,Male,Japan,Masters,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,1-2 years
30-34,Male,Japan,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",advance,5-10 years
25-29,Female,Other,Masters,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),$0-999,basic,1-2 years
30-34,Female,United States of America,Masters,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
22-24,Male,Brazil,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
25-29,Male,India,Bachelors,Other,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",advance,3-5 years
35-39,Male,South Korea,Masters,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
25-29,Male,Brazil,Masters,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",intermediate,3-5 years
35-39,Male,France,Masters,Data Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",intermediate,< 1 years
30-34,Female,United States of America,Doctoral,Product/Project Manager,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,10-20 years
25-29,Male,India,Bachelors,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",intermediate,1-2 years
22-24,Male,India,Masters,Student,,,,basic,< 1 years
22-24,Male,India,Masters,Student,,,,intermediate,< 1 years
35-39,Male,Belarus,Masters,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,1-2 years
25-29,Male,India,Bachelors,DBA/Database Engineer,50-249 employees,No (we do not use ML methods),"2,000-2,999",intermediate,3-5 years
22-24,Male,India,Bachelors,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",intermediate,1-2 years
25-29,Male,India,Masters,Data Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,3-5 years
25-29,Male,Nigeria,Masters,Data Analyst,50-249 employees,No (we do not use ML methods),$0-999,intermediate,< 1 years
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"40,000-49,999",basic,5-10 years
30-34,Male,Sweden,Masters,Data Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
35-39,Male,United States of America,Bachelors,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years
25-29,Male,India,Bachelors,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",advance,3-5 years
18-21,Male,India,Coursework,Student,,,,advance,1-2 years
30-34,Male,Germany,Masters,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,1-2 years
25-29,Male,Germany,Bachelors,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years
25-29,Male,India,Coursework,Data Analyst,"> 10,000 employees",No (we do not use ML methods),$0-999,advance,< 1 years
45-49,Female,India,Doctoral,Data Analyst,50-249 employees,No (we do not use ML methods),"2,000-2,999",advance,3-5 years
40-44,Male,India,Masters,Other,"> 10,000 employees",I do not know,"1,000-1,999",advance,< 1 years
30-34,Male,United States of America,Masters,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"150,000-199,999",basic,3-5 years
22-24,Female,India,Coursework,Student,,,,advance,< 1 years
35-39,Male,Mexico,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
30-34,Male,United States of America,Bachelors,Data Analyst,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years
25-29,Female,United States of America,Doctoral,Student,,,,advance,5-10 years
22-24,Male,France,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",intermediate,1-2 years
35-39,Other,United Kingdom of Great Britain and Northern Ireland,Doctoral,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
40-44,Male,Other,Masters,Other,"1000-9,999 employees",No (we do not use ML methods),"15,000-19,999",advance,3-5 years
25-29,Other,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
18-21,Male,Russia,Bachelors,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
22-24,Male,India,Bachelors,Software Engineer,"1000-9,999 employees",I do not know,"15,000-19,999",intermediate,1-2 years
22-24,Male,India,Masters,Student,,,,advance,1-2 years
30-34,Male,India,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years
22-24,Male,Australia,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,1-2 years
18-21,Male,India,Coursework,Student,,,,basic,I have never written code
18-21,Male,Brazil,Bachelors,Student,,,,advance,1-2 years
30-34,Female,India,Masters,Other,0-49 employees,I do not know,$0-999,advance,< 1 years
22-24,Male,India,Bachelors,Student,,,,basic,1-2 years
35-39,Male,Japan,Doctoral,Research Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,1-2 years
35-39,Male,Canada,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,10-20 years
18-21,Male,India,Coursework,Student,,,,basic,< 1 years
30-34,Male,United States of America,Masters,Data Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),,intermediate,
30-34,Male,Portugal,Doctoral,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",intermediate,5-10 years
25-29,Male,United States of America,Masters,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,1-2 years
25-29,Male,Russia,Bachelors,Software Engineer,50-249 employees,No (we do not use ML methods),"1,000-1,999",basic,1-2 years
22-24,Female,India,Bachelors,Student,,,,basic,I have never written code
30-34,Male,Canada,Masters,Business Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,3-5 years
30-34,Female,United States of America,Masters,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years
22-24,Male,France,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
22-24,Male,United States of America,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,< 1 years
30-34,Male,Canada,Doctoral,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,5-10 years
25-29,Male,Poland,Masters,Research Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,5-10 years
22-24,Male,Indonesia,Masters,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years
35-39,Male,Netherlands,Coursework,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,1-2 years
30-34,Male,Italy,Coursework,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,1-2 years
45-49,Male,France,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",intermediate,< 1 years
22-24,Male,India,Bachelors,Software Engineer,"> 10,000 employees",I do not know,"4,000-4,999",advance,3-5 years
22-24,Male,Brazil,Bachelors,Business Analyst,50-249 employees,No (we do not use ML methods),"10,000-14,999",intermediate,1-2 years
30-34,Male,United States of America,Masters,Business Analyst,0-49 employees,No (we do not use ML methods),"50,000-59,999",advance,1-2 years
30-34,Male,India,Bachelors,Business Analyst,50-249 employees,I do not know,"10,000-14,999",advance,1-2 years
25-29,Male,Czech Republic,Masters,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years
35-39,Other,United States of America,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"200,000-249,999",advance,3-5 years
18-21,Male,India,Coursework,Student,,,,advance,< 1 years
25-29,Female,Other,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years
22-24,Male,Pakistan,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,< 1 years
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,10-20 years
30-34,Male,United States of America,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,3-5 years
30-34,Male,Spain,Doctoral,Student,,,,advance,1-2 years
25-29,Male,United States of America,Doctoral,Student,,,,intermediate,1-2 years
30-34,Female,United States of America,Masters,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,10-20 years
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
35-39,Male,Sweden,Doctoral,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,5-10 years
25-29,Male,United States of America,Masters,Data Analyst,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",intermediate,3-5 years
25-29,Female,Morocco,Masters,Student,,,,advance,< 1 years
25-29,Male,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years
45-49,Male,India,Coursework,Other,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",basic,1-2 years
25-29,Male,Spain,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years
18-21,Male,India,Bachelors,Student,,,,basic,I have never written code
22-24,Male,Greece,Masters,Student,,,,advance,< 1 years
35-39,Male,Russia,Coursework,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,10-20 years
22-24,Male,United States of America,Bachelors,Data Analyst,0-49 employees,No (we do not use ML methods),"60,000-69,999",basic,I have never written code
25-29,Other,Other,Doctoral,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,1-2 years
40-44,Male,India,Masters,Data Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"> $500,000",advance,5-10 years
25-29,Male,United States of America,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",advance,3-5 years
25-29,Male,India,Doctoral,Student,,,,advance,< 1 years
30-34,Male,United States of America,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
22-24,Male,Pakistan,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,1-2 years
25-29,Male,Chile,Masters,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,3-5 years
25-29,Male,Other,Coursework,Student,,,,advance,< 1 years
22-24,Male,India,Bachelors,Student,,,,advance,1-2 years
22-24,Male,India,Bachelors,Student,,,,advance,1-2 years
22-24,Male,France,Masters,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
18-21,Female,India,Bachelors,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",advance,1-2 years
18-21,Male,India,Bachelors,Student,,,,intermediate,1-2 years
45-49,Male,Hong Kong (S.A.R.),Coursework,Data Analyst,"> 10,000 employees",No (we do not use ML methods),"300,000-500,000",advance,3-5 years
30-34,Female,Mexico,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",advance,1-2 years
25-29,Male,India,Masters,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",basic,3-5 years
50-54,Male,Spain,Doctoral,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,20+ years
18-21,Female,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",advance,3-5 years
22-24,Male,India,Bachelors,Student,,,,advance,< 1 years
25-29,Male,South Africa,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,1-2 years
30-34,Male,Hungary,Doctoral,Student,,,,advance,3-5 years
30-34,Male,France,Doctoral,Research Scientist,250-999 employees,No (we do not use ML methods),"20,000-24,999",advance,I have never written code
40-44,Male,India,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",intermediate,3-5 years
60-69,Male,United States of America,Masters,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",intermediate,20+ years
45-49,Female,Argentina,Coursework,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,5-10 years
25-29,Male,Turkey,Doctoral,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",intermediate,5-10 years
55-59,Male,United States of America,Bachelors,Software Engineer,"> 10,000 employees",I do not know,"150,000-199,999",basic,10-20 years
30-34,Male,Ireland,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years
22-24,Male,Russia,Masters,Student,,,,advance,< 1 years
18-21,Male,India,Bachelors,Student,,,,advance,1-2 years
55-59,Male,France,Masters,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",intermediate,3-5 years
30-34,Male,Singapore,Coursework,Other,,,,intermediate,
25-29,Male,India,Masters,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,3-5 years
35-39,Male,Portugal,Masters,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,5-10 years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,3-5 years
22-24,Male,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,1-2 years
45-49,Female,United States of America,Masters,Statistician,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999",advance,10-20 years
22-24,Male,Pakistan,Bachelors,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",advance,3-5 years
30-34,Male,United States of America,Coursework,Data Analyst,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years
40-44,Male,Brazil,Coursework,Statistician,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,5-10 years
35-39,Male,Israel,Bachelors,Other,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",intermediate,10-20 years
35-39,Male,Russia,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"30,000-39,999",basic,< 1 years
30-34,Male,Nigeria,Bachelors,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"5,000-7,499",advance,< 1 years
35-39,Female,India,Masters,Student,,,,advance,10-20 years
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
18-21,Male,India,Bachelors,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",intermediate,3-5 years
25-29,Male,Japan,Bachelors,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"3,000-3,999",advance,1-2 years
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
35-39,Male,Other,Masters,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
35-39,Male,Italy,Doctoral,Other,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,10-20 years
30-34,Female,Italy,Masters,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,3-5 years
18-21,Female,India,Bachelors,Student,,,,basic,3-5 years
18-21,Male,India,Bachelors,Student,,,,basic,1-2 years
25-29,Male,France,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years
18-21,Male,India,Masters,Student,,,,advance,< 1 years
30-34,Male,Ukraine,Bachelors,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",basic,3-5 years
22-24,Male,India,Masters,Student,,,,advance,< 1 years
25-29,Male,India,Masters,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,1-2 years
25-29,Male,Japan,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",advance,1-2 years
45-49,Male,Italy,Coursework,Student,,,,advance,< 1 years
35-39,Male,Russia,Coursework,Product/Project Manager,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,3-5 years
35-39,Female,Taiwan,Masters,Product/Project Manager,50-249 employees,No (we do not use ML methods),$0-999,basic,< 1 years
22-24,Female,United States of America,Bachelors,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
70+,Male,Other,Doctoral,Research Scientist,0-49 employees,I do not know,$0-999,intermediate,3-5 years
22-24,Female,India,Coursework,Software Engineer,0-49 employees,I do not know,"1,000-1,999",basic,< 1 years
45-49,Male,Other,Doctoral,Research Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,20+ years
30-34,Male,Egypt,Masters,Data Scientist,0-49 employees,No (we do not use ML methods),$0-999,basic,1-2 years
25-29,Male,Brazil,Masters,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,3-5 years
22-24,Male,Brazil,Bachelors,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,1-2 years
30-34,Male,Russia,Doctoral,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,5-10 years
40-44,Male,United States of America,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,20+ years
35-39,Male,India,Masters,Software Engineer,"> 10,000 employees",I do not know,"15,000-19,999",basic,I have never written code
50-54,Female,Brazil,Doctoral,Product/Project Manager,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",basic,20+ years
22-24,Female,Other,Masters,Student,,,,advance,< 1 years
25-29,Female,Ukraine,Bachelors,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,< 1 years
30-34,Male,Brazil,Coursework,Student,,,,intermediate,< 1 years
18-21,Male,India,Masters,Student,,,,advance,1-2 years
22-24,Male,Bangladesh,Bachelors,Student,,,,advance,1-2 years
25-29,Female,United States of America,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,5-10 years
25-29,Male,Morocco,Doctoral,Statistician,"> 10,000 employees",I do not know,$0-999,advance,3-5 years
25-29,Male,Canada,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,5-10 years
30-34,Female,United States of America,Doctoral,Student,,,,advance,1-2 years
25-29,Female,Canada,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
22-24,Male,United States of America,Masters,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",basic,< 1 years
25-29,Female,United States of America,Doctoral,Student,,,,intermediate,3-5 years
25-29,Male,Brazil,Bachelors,Other,"1000-9,999 employees",No (we do not use ML methods),"10,000-14,999",advance,3-5 years
55-59,Male,United States of America,Doctoral,Other,"1000-9,999 employees",No (we do not use ML methods),"10,000-14,999",advance,3-5 years
25-29,Male,Hungary,Coursework,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",basic,3-5 years
25-29,Male,Belarus,Doctoral,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",advance,5-10 years
22-24,Male,Spain,Masters,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,3-5 years
22-24,Male,United States of America,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",basic,1-2 years
22-24,Male,India,Masters,Student,,,,basic,1-2 years
22-24,Female,India,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,5-10 years
18-21,Male,Canada,Bachelors,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
18-21,Female,Nigeria,Bachelors,Student,,,,advance,1-2 years
25-29,Male,India,Masters,Business Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
25-29,Male,South Korea,Bachelors,Student,,,,advance,< 1 years
40-44,Male,India,Masters,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,3-5 years
22-24,Female,Other,Bachelors,Student,,,,advance,< 1 years
35-39,Male,France,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years
30-34,Male,Other,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,1-2 years
30-34,Male,Colombia,Doctoral,Research Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,10-20 years
30-34,Male,Brazil,Bachelors,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,< 1 years
40-44,Male,Germany,Doctoral,Research Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,5-10 years
40-44,Male,United States of America,Coursework,Statistician,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,10-20 years
35-39,Male,India,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,< 1 years
25-29,Male,Japan,Doctoral,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",basic,I have never written code
55-59,Male,Australia,Doctoral,Student,,,,intermediate,20+ years
40-44,Male,Brazil,Bachelors,Student,,,,basic,3-5 years
22-24,Male,Taiwan,Masters,Student,,,,advance,1-2 years
30-34,Male,India,Coursework,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",basic,1-2 years
50-54,Male,United States of America,Doctoral,Research Scientist,"> 10,000 employees",I do not know,"150,000-199,999",intermediate,20+ years
30-34,Male,Mexico,Coursework,Student,,,,basic,I have never written code
